# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
2076	E. Voigt	1928	Neue artikulierte cheilostome Bryozoen aus einem Kreidegeschiebe obersenonen Alters von Cöthen in Anhalt	Zs Geschiebeforsch	4	105-114
2077	E. Voigt	1928	Bryozoen aus dem Gosauvorkommen am Taubensee bei Kössen in der Nordtiroler Kalkalpen	Centralbl Min Geol und Pal Abt B Stuttgart	B7	443-448
2078	E. Voigt	1925	Neue cribrimorphe Bryozoen aus der Familie der Pelmatoporidae in Kreidegeschieben Anhalts	Zs Geschiebeforsch	1	97-104
2079	E. Voigt	1925	Über das Vorkommen von Bryozoen in Diluvial-geschieben und dir Grundzüge ihrer Systematik	Zs Geschiebeforsch	1	13-28
2080	E. Voigt	1924	Über neue Bryozoen aus Danien-Geschieben Anhalts	Paläontologische Zeitschrift	6	3-13
2081	E. Voigt	1924	Über eine ctenostome Bryozoe aus dem Granulatensenon von Gr. Bülten bei Peine	Paläontologische Zeitschrift	6	1-2
2082	E. Voigt	1923	Über einige neue und wenig bekannte Bryozoen der Gattung Floridina aus dem Danien von Faxe	Medd Dansk Geol Foren	6	1-9
2083	J. R. Voight and S. E. Walker	1995	Geographic variation of shell bionts in the deep-sea snail Gaza	Deep-Sea Research I	42	1261-1271
2084	K. Vogel, S. Golubic and C. E. Brett	1987	Endolith associations and their relation to facies distribution in the Middle Devonian of New York State, U.S.A	Lethaia	20	263-290
2085	C. A. Viviani	1977	Briozoos del Litoral Chileno. Las especies del género Hippothoa (Ascophora)	Medio Ambiente	2	38-52
2086	J. P. Visscher	1929	Nature and extent of fouling of ships' bottoms	Bull. U. S. Bur. Fish.	43	193-252
2087	L. A. Viskova and O. B. Weiss	1998	New stenolaematous bryozoans from the Paleocene of Kazakhstan [in Russian]	Paleontologicheskii Zhurnal	3	47-53
2088	L. A. Viskova and O. Weiss	1998	New Stenolaematous Bryozoa from the Paleocene of Kazakhstan	Paleontological Journal	32	260-268
2089	L. A. Viskova and I. P. Morozova	1993	Evolutionary changes of marine bryozoans and critical situations in the Phanerozoic	Paleontologicheskii Zhurnal	1993	49-55
2090	L. A. Viskova and I. P. Morozova	1988	A revision of the system of higher taxa of the phylum Bryozoa	Paleontologicheskii Zhurnal	1988	10-21
2091	L. A. Viskova and A. Y. Ivantsov	1999	The earliest uncalcified bryozoan from the Ordovician in the vicinity of Saint-Petersburg [in Russian]	Paleontologicheskii Zhurnal	1999	26-29
2092	L. A. Viskova	2004	Idmoneiform Tubuliporina (Bryozoa: Stenolaemata: Morphological Features, Problems in Systematics, and New Taxa) [in Russian]	Paleontologicheskii Zhurnal	2004	43-55
2093	L. A. Viskova	2002	Polymorphism patterns in fossil and living idmoneiform bryozoans Tubuliporina (Stenolaemata)	Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Geologicheskii	77	47-52
2094	L. A. Viskova	2001	[in Russian] A discussion of the growth patterns of complex colonies, and description of new species of post-Palaeozoic stenolaematan bryozoans	Paleontologicheskii Zhurnal	2001	46-53
2095	L. A. Viskova	2000	New finds of late Cretaceous stenolaematous bryozoans with a closed type of growth	Paleontologicheskii Zhurnal	2000	26-31
2096	L. A. Viskova	1999	Diversity of modular organisation of post-Palaeozoic marine Bryozoa [in Russian]	Zhurnal Obshchei Biologii	60	99-108
2097	L. A. Viskova	1998	Coloniality in fossil and Recent marine bryozoans [in Russian]	Paleontologicheskii Zhurnal	1998	32-39
2098	L. A. Viskova	1997	Changes of the generic diversity of marine bryozoans (Triassic - Recent)	Records Of The Queen Victoria Museum	104	31-34
2099	L. A. Viskova	1993	Patterns of dimorphism in fossil and recent marine bryozoans [in Russian]	Paleontologicheskii Zhurnal	1993	3-9
2100	L. A. Viskova	1992	Morskiye postpaleozoiskiye Mshanki	Trudy Paleontologischeskogo Instituta Akademiya Nauk SSSR	250	1-187
2101	L. A. Viskova	1992	On the dimophism of sea Bryozoa [in Russian]	Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Geologicheskii	67	114-115
2102	L. A. Viskova	1991	Patterns of organization of articulated bryozoan colonies [in Russian]	Paleontologicheskii Zhurnal	1991	3-12
2103	L. A. Viskova	1989	[Morphology and colonial organisation in bryozoans of the genus Diplosolen.]	Paleontologicheskii Zhurnal	2	22-26
2104	L. A. Viskova	1987	Basic features of colony astogenesis of post-Palaeozoic Bryozoa [in Russian]	Trudy Paleontologicheskogo Instituta Akademiya Nauk SSSR	222	88-111
2105	L. A. Viskova	1986	Morphology and colonial integration of the genus Myriapora (Cheilostomata)	Paleontologicheskii Zhurnal	1986	56-64
2106	L. A. Viskova	1986	About plastic growth of branching colonies of some Recent and fossil Bryozoa [in Russian]	Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Geologicheskii	N1, otd. geol.	119
2107	L. A. Viskova	1986	ÌOPÔÎËÎÃÈß È ÊÎËÎÍÈAËÜÍAß ÈÍÒEÃ∆AÖÈß ∆ÎÄA Myriapora (Cheilostomata)	ÏAËEOHTOËOÃÈ√ECÊÈÉ ÆÓ∆ÍÀË	4	56-66
2108	L. A. Viskova	1985	New bryozoan species of the genus Sphaerulobryozoon and peculiarities of the formation of its colonies [in Russian]	Paleontologicheskii Zhurnal	1985	121-124
2109	L. A. Viskova	1981	Brood chambers in recent and fossil marine bryozoans [in Russian]	Paleontologicheskii Zhurnal	1981	35-52
2110	L. A. Viskova	1972	Late Cretaceous cyclostomatous Bryozoa of the Volga river region and the Crimea [in Russian]	Trudy Paleontologischeskogo Instituta Akademiya Nauk SSSR	132	7-91
2111	L. A. Viskova	1972	New data on the Siphoniotyphlidae (Bryozoa, Cyclostomata)  [in Russian]	Paleontologicheskii Zhurnal	1972	64-69
2112	L. A. Viskova	1965	Late Cretaceous Bryozoa of the genus Meliceritites from the middle Volga region [in Russian]	Paleontologicheskii Zhurnal	1965	49-58
2113	L. A. Viskova	1963	On the Upper Cretaceous cyclostomatous Bryozoa of the Volga region and the Crimea [in Russian]	Bulletin de la Société Impériale des naturalistes de Moscou Geol	38	154-155
2114	L. A. Viskova	1961	New Late Carboniferous fenestellids from the Usa River basin [in Russian]	Paleontologicheskii Zhurnal	1961	86-92
2115	A. V. Vinogradov and M. Y. Rytova	1990	On bryozoan statoblasts in the Mid-Volga Basin plankton [in Russian]	Vestnik Zoologii	1990	65-66
2116	A. V. Vinogradov	1996	New fossil freshwater bryozoans from the Asiatic part of Russia and Kazakhstan	Paleontological Journal	30	284-292
2117	A. V. Vinogradov	1996	New eurystomid bryozoan from the Cretaceous of Transbaikalia	Paleontologicheskii Zhurnal	1	115-116
2118	A. V. Vinogradov	1995	New fossil bryozoans from continental water bodies of Russia and Kazakhstan [in Russian]	Paleontologicheskii Zhurnal	1995	43-53
2119	A. V. Vinogradov	1993	Bryozoa of continental reservoirs as food of hydrobionts [in Russian]	Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Biologicheskii	98	41-47
2120	A. V. Vinogradov	1990	Bryozoa Phylactolaemata of the continental waters of Mongolia	Vestnik Zoologii	3	74-75
2121	A. V. Vinogradov	1990	Zoarial polymorphism of pearlwort in continental reservoirs [in Russian]	Zhurnal Obshchei Biologii	51	836-840
2122	A. V. Vinogradov	1990	An addition to the fauna of Phylactolaemata (Bryozoa) of Moscow region [in Russian]	Zoologicheskii Zhurnal	69	142-144
2123	A. V. Vinogradov	1987	Ways of adaptations in Phylactolaemata [in Russian]	Trudy Paleontologicheskogo Instituta Akademiya Nauk Sssr	222	111-122
2124	A. V. Vinogradov	1985	Bryozoa [in Russian]	Trudy Paleontologischeskogo Instituta Akademiya Nauk SSSR	213	85-87
2125	G. R. Vine	1888	Notes on Polyzoa of Caen and Ranville now preserved in the Northampton Museum	Journal of the Northamptonshire Natural History Society and Field Club	5	1-24
2126	G. R. Vine	1887	Notes on a species of Entalophora from the Neocomian Clay of Lincolnshire	Annals and Magazine of Natural History	(5)19	17-19
2127	G. R. Vine	1884	Polyzoa (Bryozoa) found in the boring at Richmond, Surrey, referred to by Prof. Judd	Quarterly journal of the geological society (London)	40	784-794
2128	G. R. Vine	1884	Notes on some Cretaceous Lichenoporidae	Quarterly journal of the geological society (London)	40	850-854
2129	G. R. Vine	1880	A Review of the Family Diastoporidae for the purpose of Classification	Quarterly journal of the geological society (London)	36	356-360
2130	G. R. Vine	1880	On the Carboniferous Polyzoa	Geological Magazine	(Decade 2) 7	501-512
2131	P. E. Vinassa de Regny	1911	Trias-Tabulaten, Bryozoen und Hydrozoen aus dem Bakony	Result wiss Erforschung Balatonsees	Bd.1, T.1	1-22
2132	P. E. Vinassa de Regny	1910	Fossili Ordoviciani del nucleo centrale Carnico	Gioenia Acad Sci Nat Atti	12	1-48
2133	G. G. Villela	1948	Adenochrome-like pigment of the Polyzoa Bugula neritina (L.)	Proceedings of the Society for Experimental Biology and Medicine	68	531-533
2134	G. G. Villela	1948	Biocromos (pigmentos) de invertebrados marinhos. I. Briozoarios	Memorias do Instituto Oswaldo Cruz	46	459-471
2135	M. Vigneaux	1949	Révision des Bryozoaires néogènes du Bassin d'Aquitaine et essai de classification	Mémoires de la Société Géologique de France, n.s.	28	1-153
2136	M. Vigneaux	1948-53 [1953]	Sur un genre nouveau appartenant à la famille des Schizoporellidae	P. V. Soc. Sci. Bordeaux		16-17
2137	I. Vigeland	1971	Bryozoa, in Port Phillip Bay Survey, 2	Memoirs of the National Museum of Victoria	32	65-81
2138	I. Vigeland	1964	A preliminary report on the Polyzoa collection in the National Museum of Victoria	Memoirs of the National Museum of Victoria	26	167-199
2139	I. Vigeland	1958	Bryozoa of Tristan da Cunha	Res. Norweg. Sci. Exp. Trist. da Cunha 1937-1938	No. 44	1-17
2140	I. Vigeland	1952	Antarctic Bryozoa	Scientific Results of the Norwegian Antarctic Expeditions, 1927-1928	34	1-15
2141	A. Viganò	1969	Colonizzazione sperimentale di acque umbre con statoblasti di briozoi	Boll. Zool.	36	358-359
2142	A. Viganò	1968	Note su Plumatella casmiana Oka (Bryozoa)	Riv. Idrobiol.	7	421-468
2143	R. C. Vietti and A. Balduzzi	1991	Relationship between radular morphology and food in the Doridina (Mollusca: Nudibranchia)	Malacologia	32	211-217
2144	A. E. Verrill and S. I. Smith	1874	The invertebrate animals of Vineyard Sound and adjacent waters.  Bryozoa	Report of the Commissioner of Fish and Fisheries for 1871-2		704-714, 747
2145	A. E. Verrill	1900	Additions to the Tunicata and Molluscoidea of the Bermudas	Transactions of the Connecticut Academy of Arts and Sciences	10	592-594
2146	A. E. Verrill	1879	Brief contributions to zoology from the Museum of Yale College. No.42. Notice of recent additions to the marine fauna of the eastern coast of North America. No.5. Polyzoa	American Journal of Science and Arts	17	472-474
2147	A. E. Verrill	1878	In: Coues and Yarrow, 1878.  Notes on the natural history of Fort Macon, North Carolina and vicinity	Proceedings of the Academy of Natural Sciences of Philadelphia	1878	304-305
2148	A. E. Verrill	1875	Brief contributions to zoology from the Museum of Yale College. No.33. Results of dredging expeditions off the New England coast in 1874	American Journal of Science and Arts	10	36-44
2149	A. E. Verrill	1875	Brief contributions to zoology from the Museum of Yale College. No.32. Results of dredging expeditions off the New England coast in 1874	American Journal of Science and Arts	9	411-415
2150	A. E. Verrill	1872	Brief contributions to zoology from the Museum of Yale College. No.20. Recent additions to the molluscan fauna of New England and the adjacent waters, with notes on other species	American Journal of Science and Arts	3	281-290
2151	A. E. Verrill	1872	Recent additions to the molluscan fauna of New England and the adjacent waters, with notes on other species	American Journal of Science	3 (ser.3)	209-213
2152	J. G. Vernon, B. Okamura, C. S. Jones and L. R. Noble	1996	Temporal patterns of clonality and parasitism in population of freshwater bryozoans	Proceedings of the Royal Society London Series B	263	1313-1318
2153	F. J. Vernborg, C. Ochliener and D. E. Schneider	1963	The influence of temperature and salinity on ciliary activity of gill tissues of molluscs from North Carolina	Comp. Biochem. Physiol.	8	271-285
2154	G. J. Vermeij	1970	Adaptive versatility and skeleton construction	American Naturalist	104	253-259
2155	E. Vennin, J. J. Alvaro and E. Villas	1998	High-latitude pelmatozoan-bryozoan mud-mounds from the Late Ordovician northern Gondwana platform	Geological Journal	33	121-140
2156	M. Velikonja	1995	A contribution to the knowledge of the freshwater Bryozoa of Slovenia [in Slovak]	Bioloski Vestnik	40	83-88
2157	A. Vegglani and A. Francesco	1968 [1969]	I ciottoli inclusi nelle arenarie Tortoniane di Ranchio (Forli)	G. Geol.	36	185-202
2158	U. Vavra	1988	Actinopora complicata Viskova & Endelman (Cyclostomata), eine seltene Bryozoe aus dem Helvetikum (Paleozan) des Haunsberges (N Salzburg, Osterreich)	Mitteilungen Der Bayerischen Staatssammlung Fuer Palaeontologie Und Historische Geologie	28	49-55
2159	N. R. Vavra	1991	Contributions to the taxonomy and morphology of Polyascosoecia (Bryozoa: Cyclostomata) and related forms	BULLETIN DE LA SOCIETE DES SCIENCES NATURELLES DE L'OUEST DE LA FRANCE MEMOIRE HORS DE SERIE No	1	497-504
2160	N. Vávra and J. D. Becker-Platen	1990	Eine Bryozoenfaunula aus dem Tertiär der Turkei	Documenta Naturae	59	197-206
2161	N. Vavra and J. D. Becker Platen	1990	Eine Bryozoenfaunula aus dem Tertiar der Turkei	Documenta Naturae	59	34-42
2162	N. Vávra	1993	Glessit, ein tertiäres Harz Angiospermen der Familie Burseraceae	N. Jb. Geol. Paläont. Abh.	187	299-324
2163	N. Vávra	1993	Chemofossilien	Labor Direct	1	1-8
2164	N. Vávra	1991	Palaeovegetational devolopment in Europe: Chemofossils from "Baltic Amber"	Proceedings of the Pan-European Palaeobotanical Conference	19	423-427
2165	N. Vávra	1989	Bryozoen aus dem Badenien (Mittelmiozän) von Weissenwegg bei Wildon (Steiermark)	Annalen des naturhistorischen Museums in Wien	90	83-102
2166	N. Vávra	1988	Filicrisia geniculata (Milne-Edwards, 1838)-Crisiidae, Cyclostomata, Bryozoa - aus dem Kalktertiar (Oberoligozan-Untermiozan) des Mainzer Beckens	Geologisches Jahbuch	110	359-369
2167	N. Vávra	1987	Fossilien in Volksglauben und Alltag	Schriften des Vereines zur Verbreitung naturwissenchaftlicher Kenntnisse in Wien	126	193-252
2168	N. Vávra	1984	Bryozoen im "prä-aquitanen" Tertiär des Mainzer Beckens	Mainzer Geowissenschaftliche Mitteilungen	13	233-236
2169	N. Vávra	1984	A littoral bryozoan assemblage from the Korytnica Clays (Middle Miocene: Holy Cross Mountains, Central Poland)	Acta Geologica Polonica	34	223-237
2170	N. Vávra	1984	Bernstine - die Tier- und Pflanzenwelt fossiler Harze	Schriften des Vereines zur Verbreitung naturwissenchaftlicher Kenntnisse in Wien	122	67-96
2171	N. Vávra	1984	„Reich an armen Fundstellen“: Übersicht über die fossilen Harze Österreichs	Bernstein-Neuigkeiten, Stuttgarter Beitr.z. Naturkunde	18	9-14
2172	N. Vávra	1983	Bryozoen aus dem Unteren Meeressand (Mitteloligozän) von Eckselheim (Mainzer Becken, Bundesrepublik Deutschland)	Mainzer Naturwissenschaftliches Archiv	21	67-123
2173	N. Vávra	1980	Tropische Faunenelemente in den Bryozoenfaunen des Badenien (Mittelmiozän) des Zentralen Paratethys	Sitzungberichte öst Akad Wiss	189	49-63
2174	N. Vávra	1979	Die Bryozoenfaunen des österreichischen Tertiärs	Neues Jahrbuch für Geologie und Paläontologie Abhandlungen	157	366-392
2175	N. Vávra	1978	Sphaerogypsina Galloway, 1933 (Foraminiferida) - von Reuss (1848) also Bryozoe (Ceriopora giobulus) and als Koralle (Chaetetes pygmaeus) beschrieben	Neues Jahrbuch für Geologie und Paläontologie Monatshefte	1978	741-746
2176	N. Vávra	1978	Bryozoen aus dem Paleozän von Michelstetten (Waschbergzone, Niederösterreich)	Verhandlungen geol. Bundesanst., Wien	1978	97-108
2177	N. Vávra	1978	Die Frondiporidae (Cyclostomata, Bryozoa) des österreichischen Neogens	Annalen des naturhistorischen Museums in Wien	81	237-252
2178	N. Vávra	1978	Bobiesopora n.g. - eine neue Gattung der Cyclostomata (Bryozoa) aus dem österreichischen Neogen	Annalen des naturhistorischen Museums in Wien	81	229-235
2179	N. Vávra	1977	Bryozoa tertiaria	Catalogus fossilium Austriae	Heft Vb/3	1-210
2180	N. Vávra	1974	Cyclostome Bryozoen aus dem Badenien (Mittle miozän) van Baden bei Wien (Niederosterreich)	Neues Jahrbuch für Geologie und Paläontologie Abhandlungen	147	343-375
2181	N. Vavra	1986	Bryozoen aus dem Badenian (Mittelmiozan) von Weissenegg bei Wildon (Steiermark)	Annalen des naturhistorischen Museums In Wien	90	83-102
2182	N. Vavra	1982	Bryozoa	Documents des Laboratoires de Géologie de la Faculté des Sciences de Lyon	7	31-34
2183	N. Vavra	1979	Bryozoa from the Miocene of Styria (Austria)	Systematics Association Special		585-609
2184	N. Vavra	1977	Die Frondiporidae (Cyclostomata, Bryozoa) des osterreichischen Neogens	Annalen des naturhistorischen Museums in Wien	81	237-252
2185	P. Vasseur	1984	Sciaphilous sessile communities of coral reefs in the Tuléar vicinity, S. W. of Madagascar: an overview	Oceanis	10	51-83
2186	P. Vasseur	1977	Cryptic sessile communities in various coral formations on reef flats on the vicinity of Tulear (Madagascar)	Proc 3rd Int Coral Reef Symp	1	95-100
2187	P. Vasseur	1974	The overhangs, tunnels and dark reef galleries Tulear (Madagascar) and their sessile invertebrate communities	Proceedings int. Coral Reef Symp	2	143-159
2188	P. Vasseur	1964	Contribution à l'étude bionomique des peuplements sciaphiles infralittoraux de substat dur dans les récifs de Tuléar (Madagascar)	Recl. Trav. Stn. mar. Endoume, Fasc. hors Sér. Suppl.	No. 2	1-77
2189	G. Vargo	1968	Studies of phytoplankton ecology in tropical and subtropical environments of the Atlantic Ocean. Pt. 2: Quantitative studies of phytoplankton distribution in the Straits of Florida and its relation to physical factors.	Bull. Mar. Sci.	18	5-60
2190	E. Vanhöffen	1917	Die niedere Tierwelt des Frischen Haffs.	S. B. Ges. naturf. Fr. Berl.		113-147
2191	H. Vandermeulen and R. E. DeWreede	1982	The influence of orientation of an artifical substrate (Transite) on settlement of marine organisms	Ophelia	21	41-48
2192	R. van Slageren	1997	Bryozoen	Afzettingen Werkgroep voor Tertiaire en Kwartaire Geologie	18	83-89
2193	J. Van Mieghem and P. Van Oye	1965	Biogeography and ecology in Antarctica	Monographiae Biologicae	15	762 pp.
2194	P. van Gasin	1960	Adaptations structurelles des animaux filtrants.	Annl. Soc. Roy. Zool. Belg.	90	161-231
2195	J. van Diggelen	1978	Bryozoa	Gea	11	60-63
2196	S. van der Spoel	1978	Clio bartletti n. sp., a fossil new to science closely related to Clio cuspidata (Gastropoda, Thecosomata)	Bulletin Zoologisch Museum Universiteit Van Amsterdam	6	109-113
2197	F. P. G. M. Van Der Linden and W. J. Hirschfield	1970	On the analysis and presentation of longitudinally collected growth data	Growth	34	385-400
2198	J. van der Land	1970	Kleine dieren uit het zoete water yan Suriname. Verslag van een onderzoek in 1967	Zoologische Bijdr.	No. 12	1-46
2199	P. J. Van Beneden	1894	Summary of current researches relating to zoology and botany, microscopy, etc.	Journal of the Royal Microscopical Society		118-119
2200	P. J. van Beneden	1848	Recherches sur les Bryozoaires fluviatiles de Belgique	Mem Acad R Bruxelles	21	1-33
2201	P. J. van Beneden	1848	Récherches sur les polypes bryozoaires de la Mer du Nord	Bulletin de l'Academie Royale de Belgique. Classes des Sciences	15	67-82
2202	P. J. van Beneden	1845	Récherches sur l'anatomie, la physiologie et le développement des Bryozoaires qui habitent la côte d'Ostende	Nouvelle Memoires de l'Academie royale des sciences, des lettres et des beaux-arts de Belgique	18	1-44
2203	P. J. Van Beneden	1844-45	Recherches Sur Les bryozoaires	Academie de Bruxelles	18	4-44
2204	P. J. Van Beneden	1844	Histoire naturelle du Crinomorpha, Nouveau genre de la classe des bryozoaires, de la cóte d'Ostende	Bulletin de l'Académie royale de Belgique	11	385-386
2205	M. Van Beneden	1844-45	Recherches sur L'organisation Des Laguncula, et L'histoire naturelle: des différents polypes bryozoaires qui habitent la côte D'ostend;	Academie de Bruxelles	18	1-29
2206	A. Valkanov	1957	Katalog unserer Schwarzmeerfauna	Trud. Marsk. biol. Sta. G. Varna, Sofia	19	1-62
2207	A. Valkanov	1943	Beitrag zur kenntnis der bryozoengattung Victorella S. Kent.	Arb. biol. Meeresst. Varna.	12	1-8
2208	J. W. Valentine	1975	Adaptive strategy and the origin of grades and ground-plans	American Zoologist	15	391-404
2209	J. W. Valentine	1973	Coelomate superphyla	Systematic Zoology	22	97-102
2210	J. W. Valentine	1971	Resource supply and species diversity patterns.	Lethaia	4	51-61
2211	R. Valentin	1895	Some remarks on the dispersal of marine animals by means of seaweeds	Annals and Magazine of Natural History	16	418-423
2212	L. L. Vail and R. E. Wass	1981	Experimental studies on the settlement and growth of Bryozoa in the natural environment	Australian Journal of Marine and Freshwater Research	32	639-656
2213	G. H. Uttley and J. S. Bullivant	1972	Biological results of the Chatham Islands 1954 Expedition. Part 7, Bryozoa, Cheilostomata	New Zealand Oceanographic Institute Memoir	57	1-59
2214	G. H. Uttley	1956	Remarks on the bryozoan genera Spiroporina Stoliczka and Haswellina Livingstone and their genotypes	Transactions of the Royal Society of New Zealand	84	29-31
2215	G. H. Uttley	1951	The Recent and Tertiary Polyzoa (Bryozoa) in the collection of the Canterbury Museum. Part 2	Records of the Canterbury Museum	6	15-39
2216	G. H. Uttley	1949	The Recent and Tertiary Polyzoa (Bryozoa) in the collection of the Canterbury Museum. Part 1	Records of the Canterbury Museum	5	167-192
2217	J. Utgaard and T. G. Perry	1964	Trepostomatous bryozoan fauna of the upper part of the Whitewater Formation (Cincinnatian) of eastern Indiana and western Ohio	Indiana Department of Conservation; Geological Survey, Bulletin	33	1-111
2218	J. Utgaard and T. G. Perry	1960	Fenestrate bryozoans from the Glen Dean Limestone (Middle Chester) of southern Indiana	Bulletin of the geological society of America	70	1-32
2219	J. Utgaard and R. S. Boardman	1965	Heterotrypa Nicholson, 1879, and Peronopora Nicholson, 1881 (Bryozoa, Trepostomata) : proposed designation of a type species in conformity with generally accepted usage	Bulletin of zoological Nomenclature	22	112-118
2220	J. Utgaard	1981	Lunaferamita, a new genus of Constellariidae (Bryozoa) with strong cystoporate affinities	Journal Of Paleontology	55	1058-1070
2221	J. Utgaard	1969	A revision of North American genera of ceramoporoid bryozoans (Ectoprocta): Part III: the ceramoporoid genera Ceramopora, Papillalunaria, Favositella, and Haplotrypa	Journal of Paleontology	43	289-297
2222	O. O. Ushakova and O. L. Saranchova	2003	Low salinity resistance of plankton larvae in invertebrates (Polychaeta, Gastropoda, Echinodermata, and Bryozoa) from the White Sea	Zoologicheskii Zhurnal	82	18-324
2223	P. Uschakov	1957	[Hermann Augustus Kluge]	J. Zool. Leningrad	36	1433-1435
2224	A. Urbanek	2003	Organization and evolution of animal colonies [in Russian]	 Izv Akad Nauk Ser Biol.	2003	5-13
2225	A. Urbanek	1986	The enigma of graptolite ancestry: lesson from a phylogenetic debate	OXFORD MONOGRAPHS ON GEOLOGY AND GEOPHYSICS No	5	184-226
2226	C. F. Upshaw, C. B. Wilgus and F. L. Brooks	1966	Sediments and microfauna off the coasts of Mississipi and adjacent states.	Mississippi Geol. Economics and Topographical Survey Bulletin	106	127
2227	L. Uotila and J. Jokela	1995	Variation in reproductive characteristics of colonies of the freshwater bryozoan Cristatella mucedo	Freshwater Biology	34	513-522
2228	I. Ünsal, A. Rosso, E. Meriç, N. Avsar and O. Çetin	2002	Palaeoecology of Upper Pleistocene-Holocene bryozoan and foraminiferal assemblages from Kusdili (Kadiköy, Istanbul, Turkey)	Geobios	35	735-743
2229	I. Unsal and J. L. d'Hondt	1978	Contribution a la connaissance des bryozoaires marins de Turquie (Eurystomata et Cyclostomata)	Vie Et Milieu Serie Ab Biologie Marine Et Oceanographie	29	1978-1979
2230	I. Ünsal	1975	Bryozoaires marins de Turquie	Istanbul Üniv Fen Fak Mec	40	37-54
2231	R. Unrug, W. I. Ausich, J. Bednarczyk, R. J. Cuffey, B. L. Mamet, S. L. Palmes and S. Unrug	2000	Paleozoic age of the Walden Creek Group, Ocoee Supergroup, in the western Blue Ridge, souther Appalachians: implications for evolution of the Appalachian margin of Laurentia	GSA Bulletin	112	982-996
2232	Z. Universiteit van Amsterdam Instituut voor Taxonomische	1979	Report on the third zoological excursion to Sherkin Island, Co. Cork, Ireland, organised by the Instituut voor Taxonomische Zoologie der Universiteit van Amsterdam, August 31 - September 14, 1979	REPORT ON THE ZOOLOGICAL EXCURSION TO SHERKIN ISLAND No	3	1-37
2233	Z. Universiteit van Amsterdam Instituut voor Taxonomische	1977	Report on the Zoological Excursion to Sherkin Island, Co. Cork, Ireland, organised by the Instituut voor Taxonomisch Zoologie der Universiteit van Amsterdam, August-September 1977	REPORT ON THE ZOOLOGICAL EXCURSION TO SHERKIN ISLAND No	1	1-86
2234	S. Ungaro	1969	Étude micropaléontologique et stratigraphique de l'Éocène supérieur (Priabonien) de Mossano (Colli Berici)	Mém. Bur. Rech. géol. minièr.	69	267-280
2235	A. A. Uly and J.-L. d'Hondt	1988	Variabilité Électrophorétique Comparée De Flustrellida  hispida (Fabricius, 1780) Et D'Alcyonidium polyum (Hassall, 1841), bryozoaires Cténostomes	Bulletin de la Société Zoologique de France	113	16 pages, not numbered
2236	W. Ulrich	1926	Über Das Vorkommen der Victorilla Pavida Kent Und Einiger Anderer Bryozen Im Brackwasser Des Rostocker Hafens	Victorella Pavida	5	559-576
2237	E. O. Ulrich and R. Ruedemann	1931	Are the Graptolites bryozoans?	Bulletin of the Geological Society of America	42	589-604
2238	E. O. Ulrich and R. S. Bassler	1913	Systematic paleontology of the Lower Devonian deposits of Maryland; Bryozoa	Maryland geol Surv	Lower Devonian	259-290
2239	E. O. Ulrich and R. S. Bassler	1904	A revision of Palaeozoic Bryozoa. Part II: On genera and species of Trepostomata	Smithsonian miscellaneous collections	47	15-55
2240	E. O. Ulrich	1890	Part II. Palaeontology of Illinois. Section VI. Palaeozoic Bryozoa	Report of the Geological Survey of Illinois	8	283-688
2241	E. O. Ulrich	1887	The Clinton Group of Ohio. Part 3, Bryozoa	Bull Sci Labs Denison Univ	2	150-176
2242	E. O. Ulrich	1886	Report on the Lower Silurian Bryozoa with preliminary descriptions of some of the new species	Minnesota Geology and Natural History Survey Annual Report	14th, 1885	57-103
2243	E. O. Ulrich	1886	Descriptions of new Silurian and Devonian fossils	Contributions to American Palaeontology	1	3-35
2244	E. O. Ulrich	1884	American Palaeozoic fossils	Journal of the Society of Natural history	6	25-51
2245	E. O. Ulrich	1884	American Palaeozoic bryozoa	Journal of the Society of Natural history	6	244-279
2246	E. O. Ulrich	1883	American Palaeozoic Bryozoa	J Cincinn Soc nat Hist	6	148-168
2247	E. O. Ulrich	1883	American Palaeozoic Bryozoa	J Cincinn Soc nat Hist	6	82-92
2248	E. O. Ulrich	1883	American Palaeozoic Bryozoa	J Cincinn Soc nat Hist	6	245-279
2249	E. O. Ulrich	1882	American Palaeozoic Bryozoa	J Cincinn Soc nat Hist	5	232-257
2250	E. O. Ulrich	1882	American Palaeozoic Bryozoa	J Cincinn Soc nat Hist	5	121-175
2251	E. O. Ulrich	1879	Description of a new genus and some new species of bryozoans from the Cincinnatian Group	J Cincinn Soc nat Hist	2	118-131
2252	K. Ueno and S. Sakagami	1993	Middle Permian foraminifers from Ban Nam Suai Tha Sa-at, Changwat Loei, Northeast Thailand	Trans. Proc. Palaeont. Soc. Japan, N. S.	172	277-291
2253	K. Ueno and S. Sakagami	1991	Late Permian fusulinacean fauna of Doi Pha Phlung, North Thailand	Trans. Proc. Palaeont. Soc. Japan		928-943
