AuthorID	ArticleID
1001	3307
1001	3308
1001	3309
1001	3310
1001	3311
1001	3312
1001	3313
1001	3314
1001	3315
1001	3316
1002	4327
1002	4330
1002	4331
1002	2668
1002	2669
1002	4328
1002	4329
1002	4332
1002	4333
1002	4334
1002	4335
1002	7207
1002	7208
1002	7255
1002	7341
1003	1066
1003	1278
1003	5306
1003	5307
1003	5308
1003	5309
1003	5310
1003	5311
1003	5312
1003	5313
1003	5314
1003	5315
1003	5316
1003	5317
1003	5318
1003	5319
1003	5320
1004	2689
1004	2690
1004	2691
1004	2692
1004	2693
1004	2694
1004	2695
1004	2696
1004	2697
1004	2698
1004	2699
1004	2700
1004	2701
1005	1073
1006	2135
1006	2136
1007	5251
1007	5252
1007	5253
1008	5957
1009	1062
1009	5499
1012	3716
1013	1094
1013	1098
1013	1099
1013	1185
1013	1425
1013	3754
1013	3755
1013	3756
1013	3757
1013	3758
1013	3759
1013	3760
1013	3761
1013	3762
1013	3763
1013	3764
1013	3765
1013	3766
1013	3767
1013	3768
1013	3769
1013	1258
1013	3753
1016	6729
1016	6730
1016	6731
1016	6732
1016	6733
1016	6734
1018	7397
1018	7398
1018	7399
1019	1027
1019	1032
1019	1033
1019	1113
1019	1118
1019	1124
1019	1128
1019	1130
1019	1134
1019	1135
1019	1138
1019	1165
1019	1210
1019	1251
1019	1368
1019	7451
1019	7452
1019	7453
1019	7454
1019	7455
1019	7456
1019	7457
1019	7458
1019	7459
1019	7460
1019	7461
1019	7462
1019	7463
1019	7464
1019	7465
1019	7466
1019	7467
1019	7468
1019	7469
1019	7470
1019	7471
1019	7472
1019	7473
1019	7474
1019	7475
1019	7476
1019	7477
1019	7478
1019	7479
1019	7480
1019	7481
1019	7482
1019	7483
1019	7484
1019	7485
1019	7486
1019	7487
1019	7488
1019	1092
1019	1093
1019	1095
1019	1096
1019	1107
1019	1166
1019	1448
1019	7432
1019	7433
1019	7434
1019	7435
1019	7436
1019	7437
1019	7438
1019	7439
1019	7440
1019	7441
1019	7442
1019	7443
1019	7444
1019	7445
1019	7446
1019	7447
1019	7448
1019	7449
1019	7450
1019	1126
1019	1127
1019	1129
1019	1131
1019	1133
1019	7431
1019	6616
1022	4446
1022	4447
1022	4448
1022	4449
1022	4450
1022	4451
1022	1182
1022	4444
1022	4445
1022	8291
1023	5190
1023	5191
1023	5192
1023	5193
1023	5194
1023	5195
1023	5196
1023	5197
1023	5198
1023	5188
1023	5189
1023	7163
1027	5216
1031	1261
1031	1304
1031	3026
1033	1355
1033	3972
1033	3973
1033	3964
1033	3965
1033	3966
1033	3967
1033	3968
1033	3969
1033	3970
1033	3971
1034	4790
1034	4791
1034	4792
1034	4793
1034	4794
1034	4795
1034	4796
1034	4797
1034	4798
1034	4799
1034	4800
1034	4801
1034	4802
1034	4803
1034	4804
1034	4805
1034	4806
1034	4807
1034	4808
1034	4809
1034	4810
1034	4811
1034	4812
1034	4813
1034	4814
1034	4815
1034	4816
1034	4817
1034	4818
1036	1193
1036	5025
1036	5031
1036	5032
1036	5033
1036	5034
1036	5035
1036	5036
1036	5037
1036	5038
1036	5039
1036	5040
1036	5041
1036	5042
1036	1483
1036	1484
1036	1593
1036	5024
1036	5026
1036	5027
1036	5028
1036	5029
1036	5030
1036	5043
1036	5697
1036	6801
1037	1026
1037	1097
1037	1106
1037	1424
1037	8091
1037	8092
1037	8093
1037	8094
1037	8095
1037	8096
1037	8097
1037	8098
1037	8099
1037	8100
1037	8101
1037	1095
1037	1096
1037	1107
1037	1166
1037	1448
1037	7432
1037	7433
1037	7434
1037	7435
1037	7436
1037	7437
1037	7438
1037	7439
1037	7440
1037	7441
1037	7442
1037	7443
1037	7444
1037	7445
1037	7446
1037	7447
1037	7448
1037	7449
1037	7450
1037	1119
1037	2238
1037	2239
1037	4111
1037	8090
1038	6232
1039	6568
1039	6569
1039	6572
1039	6573
1039	6574
1039	1122
1039	6570
1039	6571
1040	5883
1040	5884
1040	5885
1040	5886
1040	5887
1040	5888
1040	5889
1040	5890
1040	5891
1040	5892
1040	5893
1040	5894
1040	5895
1040	5896
1040	5897
1040	5898
1040	5899
1040	5900
1040	5901
1040	5902
1040	5903
1040	5904
1040	5905
1040	5906
1040	5907
1040	5908
1040	5909
1040	5910
1040	1274
1040	7164
1040	2320
1040	2821
1040	3119
1040	3120
1040	3121
1040	3628
1040	3630
1040	3631
1040	3632
1040	3780
1040	5229
1040	5851
1040	5852
1040	5853
1040	5854
1040	5855
1040	5856
1040	5857
1040	5858
1040	5859
1040	5860
1040	5861
1040	5862
1040	5863
1040	5864
1040	5865
1040	5866
1040	5867
1040	5868
1040	5869
1040	5870
1040	5871
1040	5872
1040	5873
1040	5874
1040	5875
1040	5876
1040	5877
1040	5878
1040	5879
1040	5880
1040	5881
1040	5882
1040	5960
1040	5961
1040	6832
1040	7780
1040	7983
1040	8045
1040	8262
1041	1111
1041	1905
1041	1906
1041	1907
1041	1908
1041	1909
1041	1910
1041	1911
1041	1912
1041	1913
1041	1914
1041	1915
1041	1916
1041	1917
1041	1918
1041	1919
1041	1920
1041	1921
1041	1922
1041	1923
1041	1924
1041	1925
1041	1926
1041	1927
1041	1928
1041	1929
1041	1930
1041	1931
1041	1932
1041	1933
1041	1934
1041	1935
1041	1936
1041	1120
1041	1332
1041	1899
1041	1900
1041	1901
1041	1902
1041	1903
1041	1904
1041	1977
1041	1978
1041	4405
1041	4695
1041	6978
1044	1430
1044	2200
1044	2201
1044	2202
1045	1221
1045	1222
1045	1299
1045	1301
1045	1308
1045	1429
1045	3385
1045	3386
1045	3387
1045	3388
1045	3389
1045	3390
1045	3391
1045	3392
1045	3393
1045	3394
1045	3395
1045	3396
1045	3397
1045	3398
1046	1013
1046	1034
1046	4734
1046	4736
1046	4737
1046	4738
1046	4739
1046	4740
1046	4741
1046	4742
1046	4743
1046	4744
1046	4745
1046	4746
1046	4747
1046	4748
1046	4749
1046	4750
1046	4751
1046	4752
1046	4753
1046	4754
1046	4755
1046	4756
1046	4757
1046	4758
1046	4759
1046	4760
1046	4761
1046	4762
1046	4763
1046	4764
1046	4765
1046	4766
1046	4767
1046	4768
1046	4769
1046	4770
1046	4771
1046	4772
1046	4773
1046	4774
1046	4775
1046	4776
1046	4777
1046	4778
1046	4779
1046	4780
1046	4781
1046	4782
1046	4733
1046	4735
1046	6831
1047	6397
1047	6398
1047	6399
1050	1067
1050	1300
1050	8487
1050	8488
1050	8489
1050	8490
1050	8491
1050	8492
1050	6647
1052	1224
1052	1259
1052	7834
1052	7835
1052	7836
1052	7837
1052	7838
1052	7839
1052	7840
1052	7841
1052	7842
1052	7843
1052	7844
1052	7845
1052	7846
1052	7847
1052	7848
1052	7849
1053	2366
1053	2367
1053	1125
1053	2361
1053	2362
1053	2363
1053	2364
1053	2365
1053	2368
1053	3337
1053	5928
1053	6804
1054	2512
1054	2513
1054	2514
1054	2515
1054	2516
1055	6079
1055	6081
1055	6082
1055	6083
1055	6084
1055	1074
1055	6080
1056	7890
1056	7996
1057	3532
1058	4714
1059	1045
1059	1091
1059	6245
1059	6246
1059	6247
1059	6248
1059	6249
1059	6250
1059	6251
1059	6252
1059	6253
1059	6254
1059	6255
1059	6256
1059	6257
1059	6258
1059	6259
1059	6260
1059	6261
1059	6262
1059	6263
1059	6264
1059	6265
1059	6266
1059	6267
1059	6268
1059	1064
1059	6237
1059	6238
1059	6239
1059	6240
1059	6241
1059	6242
1059	1205
1059	4221
1059	4222
1059	4724
1059	6235
1059	6236
1059	6243
1059	6244
1059	8109
1060	1223
1060	7182
1060	7183
1060	7184
1060	7185
1060	7186
1060	7187
1060	7188
1060	7189
1060	7190
1060	7191
1060	7192
1060	7193
1060	7194
1060	7195
1060	7196
1060	7197
